Date,Which Heatmap,Min Spent,Other Num,Notes
01/20/2025,Grammar,0,0,
01/26/2025,Grammar,0,0,
01/27/2025,Grammar,0,0,
01/28/2025,Grammar,0,0,
01/29/2025,Grammar,0,0,
01/31/2025,Grammar,0,0,
02/01/2025,Grammar,0,0,
02/02/2025,Grammar,0,0,
02/03/2025,Grammar,0,0,
02/06/2025,Grammar,0,0,
02/08/2025,Grammar,0,0,
02/09/2025,Grammar,0,0,
02/10/2025,Grammar,0,0,
02/13/2025,Grammar,0,0,
02/16/2025,Grammar,0,0,
02/17/2025,Grammar,0,0,
02/18/2025,Grammar,0,0,
02/19/2025,Grammar,0,0,
02/20/2025,Grammar,0,0,
02/23/2025,Grammar,0,0,
02/24/2025,Grammar,0,0,
02/25/2025,Grammar,0,0,
02/26/2025,Grammar,0,0,
02/27/2025,Grammar,0,0,
03/03/2025,Grammar,0,0,
03/04/2025,Grammar,0,0,
03/05/2025,Grammar,0,0,
01/26/2025,Kanji,0,0,
01/27/2025,Kanji,0,0,
01/28/2025,Kanji,0,0,
01/29/2025,Kanji,0,0,
01/30/2025,Kanji,0,0,
01/31/2025,Kanji,0,0,
02/01/2025,Kanji,0,0,
02/02/2025,Kanji,0,0,
02/03/2025,Kanji,0,0,
02/04/2025,Kanji,0,0,
02/05/2025,Kanji,0,0,
02/06/2025,Kanji,0,0,
02/07/2025,Kanji,0,0,
02/08/2025,Kanji,0,0,
02/09/2025,Kanji,0,0,
02/10/2025,Kanji,0,0,
02/11/2025,Kanji,0,0,
02/12/2025,Kanji,0,0,
02/13/2025,Kanji,0,0,
02/14/2025,Kanji,0,0,
02/15/2025,Kanji,0,0,
02/16/2025,Kanji,0,0,
02/17/2025,Kanji,0,0,
02/18/2025,Kanji,0,0,
02/19/2025,Kanji,0,0,
02/20/2025,Kanji,0,0,
02/21/2025,Kanji,0,0,
02/22/2025,Kanji,0,0,
02/23/2025,Kanji,0,0,
02/24/2025,Kanji,0,0,
02/25/2025,Kanji,0,0,
02/26/2025,Kanji,0,0,
02/27/2025,Kanji,0,0,
03/01/2025,Kanji,0,0,
03/02/2025,Kanji,0,0,
03/03/2025,Kanji,0,0,
03/04/2025,Kanji,0,0,
03/05/2025,Kanji,0,0,
01/26/2025,Vocab,0,0,
01/27/2025,Vocab,0,0,
01/28/2025,Vocab,0,0,
01/29/2025,Vocab,0,0,
01/30/2025,Vocab,0,0,
01/31/2025,Vocab,0,0,
02/01/2025,Vocab,0,0,
02/02/2025,Vocab,0,0,
02/03/2025,Vocab,0,0,
02/04/2025,Vocab,0,0,
02/05/2025,Vocab,0,0,
02/06/2025,Vocab,0,0,
02/07/2025,Vocab,0,0,
02/08/2025,Vocab,0,0,
02/09/2025,Vocab,0,0,
02/10/2025,Vocab,0,0,
02/12/2025,Vocab,0,0,
02/13/2025,Vocab,0,0,
02/14/2025,Vocab,0,0,
02/15/2025,Vocab,0,0,
02/16/2025,Vocab,0,0,
02/17/2025,Vocab,0,0,
02/18/2025,Vocab,0,0,
02/19/2025,Vocab,0,0,
02/20/2025,Vocab,0,0,
02/21/2025,Vocab,0,0,
02/22/2025,Vocab,0,0,
02/23/2025,Vocab,0,0,
02/24/2025,Vocab,0,0,
02/25/2025,Vocab,0,0,
02/26/2025,Vocab,0,0,
02/27/2025,Vocab,0,0,
03/01/2025,Vocab,0,0,
03/02/2025,Vocab,0,0,
03/03/2025,Vocab,0,0,
03/04/2025,Vocab,0,0,
03/05/2025,Vocab,0,0,
01/28/2025,Listening,0,0,
01/29/2025,Listening,0,0,
02/01/2025,Listening,0,0,
02/03/2025,Listening,0,0,
02/08/2025,Listening,0,0,
02/09/2025,Listening,0,0,
02/10/2025,Listening,0,0,
02/14/2025,Listening,0,0,
02/16/2025,Listening,0,0,
02/18/2025,Listening,0,0,
02/20/2025,Listening,0,0,
02/21/2025,Listening,0,0,
02/24/2025,Listening,0,0,
02/25/2025,Listening,0,0,
02/27/2025,Listening,0,0,
03/05/2025,Listening,0,0,
01/29/2025,Reading,0,0,
01/30/2025,Reading,0,0,
01/31/2025,Reading,0,0,
02/01/2025,Reading,0,0,
02/02/2025,Reading,0,0,
02/03/2025,Reading,0,0,
02/04/2025,Reading,0,0,
02/05/2025,Reading,0,0,
02/06/2025,Reading,0,0,
02/08/2025,Reading,0,0,
02/09/2025,Reading,0,0,
02/10/2025,Reading,0,0,
02/13/2025,Reading,0,0,
02/14/2025,Reading,0,0,
02/15/2025,Reading,0,0,
02/16/2025,Reading,0,0,
02/18/2025,Reading,0,0,
02/19/2025,Reading,0,0,
02/20/2025,Reading,0,0,
02/23/2025,Reading,0,0,
02/25/2025,Reading,0,0,
02/26/2025,Reading,0,0,
02/27/2025,Reading,0,0,
03/04/2025,Reading,0,0,
01/20/2025,Writing,0,0,
01/28/2025,Writing,0,0,
02/10/2025,Writing,0,0,
02/19/2025,Writing,0,0,
01/30/2025,Speaking,0,0,
